Koppen,Soil,Vegetation,Count,Average
Cfa,Planosols,tropical savanna,6518,15.423289352562136
Csa,Solonchaks,temperate sclerophyll woodland and shrubland,42,20.261904761904763
Cfc,Gleysols,cool evergreen needleleaf forest,34,1.411764705882353
Dfc,Cambisols,tropical grassland,125,0.336
Cfa,Solonchaks,temperate deciduous broadleaf forest,40,57.625
Csa,Kastanozems,tropical semi-evergreen broadleaf forest,2,24.5
Am,Planosols,temperate evergreen needleleaf open woodland,7,765
Dsc,Andosols,erect dwarf-shrub tundra,10,0
Aw,Solonchaks,tropical savanna,2842,16.274454609429977
Dsb,Plinthosols,temperate deciduous broadleaf forest,273,5.816849816849817
ET,Calcisols,low and high shrub tundra,84,0
BWk,Fluvisols,temperate evergreen needleleaf open woodland,737,24.28629579375848
Cfa,Planosols,tropical deciduous broadleaf forest and woodland,114,22.56140350877193
Dfa,Chernozems,tropical grassland,9644,54.08606387391124
Af,Leptosols,tropical evergreen broadleaf forest,2532,16.856240126382307
Cfb,Arenosols,temperate deciduous broadleaf forest,234,78.84188034188034
BWk,Fluvisols,temperate deciduous broadleaf forest,64,91.640625
Af,Lixisols,tropical savanna,43,0.5348837209302325
BSh,Gleysols,tropical evergreen broadleaf forest,12,7.666666666666667
ET,Gypsisols,cold evergreen needleleaf forest,1093,0.027447392497712716
BSk,Fluvisols,warm-temperate evergreen broadleaf and mixed forest,1362,52.5374449339207
Aw,Vertisols,temperate evergreen needleleaf open woodland,7,765
Cwa,Planosols,tropical xerophytic shrubland,408,46.92892156862745
Dsb,Ferrasols,temperate evergreen needleleaf open woodland,910,7.167032967032967
BWk,Cryosols,temperate deciduous broadleaf forest,82,1.6585365853658536
Cwa,Ferrasols,cold evergreen needleleaf forest,24,75.20833333333333
Cfa,Cryosols,tropical savanna,1045,38.73971291866029
Af,Durisols,wet sclerophyll forest,4,25.25
Cfc,Podzols,cool evergreen needleleaf forest,843,1.6797153024911031
Dfc,Luvisols,cool mixed forest,847,2.8772136953955134
Am,Lixisols,wet sclerophyll forest,1,65
Dsb,Chernozems,wet sclerophyll forest,1,0
Csb,Arenosols,temperate sclerophyll woodland and shrubland,635,91.46141732283465
Dsd,Ferrasols,cold deciduous forest,436,0
Dwd,Fluvisols,low and high shrub tundra,179,0
Cwc,Gypsisols,tropical grassland,6,30.833333333333332
Cfb,Plinthosols,warm-temperate evergreen broadleaf and mixed forest,17,95.6470588235294
BWh,Kastanozems,temperate sclerophyll woodland and shrubland,96,0.5
Csc,Histosols,cool evergreen needleleaf forest,1,0
Dwb,Podzols,cold evergreen needleleaf forest,149,0
Dwd,Leptosols,cold deciduous forest,1000,0.05
Dfc,Fluvisols,desert,3,0
Cfa,Arenosols,temperate deciduous broadleaf forest,1109,98.5834084761046
BSh,Ferrasols,desert,150,72.44
Dwc,Planosols,temperate deciduous broadleaf forest,1,0
Cwb,Umbrisols,tropical grassland,76,61.55263157894737
Dfc,Gleysols,temperate evergreen needleleaf open woodland,244,0.8729508196721312
Csa,Solonetz,temperate deciduous broadleaf forest,50,67.5
Csb,Gypsisols,wet sclerophyll forest,13,0.46153846153846156
Af,Solonchaks,tropical savanna,3,257.3333333333333
BWk,Cambisols,desert,18153,50.646890321159034
Dfc,Podzols,graminoid and forb tundra,174,0
Cfc,Cryosols,low and high shrub tundra,2,14
Cfa,Fluvisols,cool mixed forest,1,765
Csc,Fluvisols,wet sclerophyll forest,9,0
Dwa,Histosols,cool mixed forest,72,56.861111111111114
Dfc,Ferrasols,tropical grassland,106,0.19811320754716982
Csb,Gleysols,temperate deciduous broadleaf forest,57,86.3157894736842
Dsc,Histosols,temperate deciduous broadleaf forest,4,0
Dfa,Leptosols,cool mixed forest,96,89.38541666666667
BSk,Cambisols,tropical savanna,2,28.5
BSk,Gypsisols,cold deciduous forest,8,0
BSk,Calcisols,temperate deciduous broadleaf forest,2364,20.35532994923858
Cwa,Durisols,tropical deciduous broadleaf forest and woodland,1484,161.71091644204853
Cfb,Podzols,cool mixed forest,1594,155.82622333751567
Cfa,Podzols,tropical grassland,197,13.243654822335026
Csb,Stagnosols,tropical grassland,30,28.2
BWk,Cambisols,tropical xerophytic shrubland,3681,1.5286606900298831
Dsb,Leptosols,desert,4,0
Cfb,Arenosols,tropical xerophytic shrubland,147,123.25850340136054
Dsb,Lixisols,tropical grassland,301,8.385382059800664
Dwb,Ferrasols,temperate deciduous broadleaf forest,327,2.5045871559633026
Cwa,Solonchaks,tropical deciduous broadleaf forest and woodland,793,79.84489281210593
Dsd,Arenosols,cold deciduous forest,18,0
ET,Fluvisols,graminoid and forb tundra,2961,0.014522120905099628
Csb,Phaeozems,wet sclerophyll forest,56,0
ET,Ferrasols,warm-temperate evergreen broadleaf and mixed forest,8,9
BWk,Regosols,tropical xerophytic shrubland,724,1.2555248618784531
ET,Luvisols,tropical xerophytic shrubland,30,0
Dwc,Cambisols,low and high shrub tundra,2244,0.012477718360071301
Aw,Ferrasols,tropical deciduous broadleaf forest and woodland,2888,62.90166204986149
Dsa,Lixisols,desert,7,0.42857142857142855
BSk,Gypsisols,tropical savanna,1,0
Dwb,Regosols,cool mixed forest,21,0
BSk,Calcisols,tropical grassland,19108,17.085252250366338
BSh,Cryosols,tropical evergreen broadleaf forest,15,12.266666666666667
Cfa,Nitisols,tropical grassland,286,50.15034965034965
ET,Andosols,tropical deciduous broadleaf forest and woodland,4,0
Csa,Kastanozems,cool evergreen needleleaf forest,2,65
Cfb,Luvisols,tropical grassland,2304,35.42144097222222
Dfc,Lixisols,erect dwarf-shrub tundra,258,3.9302325581395348
Csc,Andosols,warm-temperate evergreen broadleaf and mixed forest,7,14.142857142857142
Am,Stagnosols,tropical savanna,2,0
ET,Nitisols,cold evergreen needleleaf forest,305,0.003278688524590164
Aw,Albeluvisols,tropical xerophytic shrubland,47,198.85106382978722
ET,Phaeozems,tropical xerophytic shrubland,15,0
Cfa,Solonetz,temperate sclerophyll woodland and shrubland,563,11.071047957371226
Csa,Solonetz,desert,3,123
Dsb,Plinthosols,temperate evergreen needleleaf open woodland,578,1.8581314878892734
Dsc,Durisols,cold deciduous forest,143,0
BSk,Histosols,cold deciduous forest,8,0.875
Csa,Cryosols,tropical savanna,3,225.33333333333334
Dwb,Cryosols,desert,25,1.4
Dsb,Arenosols,temperate deciduous broadleaf forest,107,9.728971962616823
Csb,Acrisols,tropical xerophytic shrubland,38,299.3157894736842
Dwd,Nitisols,low and high shrub tundra,46,0
Dfc,Cambisols,warm-temperate evergreen broadleaf and mixed forest,75,2.973333333333333
Dsc,Leptosols,temperate deciduous broadleaf forest,6,0.5
Dfd,Leptosols,low and high shrub tundra,15,0
ET,Planosols,cold deciduous forest,195,0
Cwb,Stagnosols,tropical xerophytic shrubland,86,165.95348837209303
Dsb,Gleysols,cold evergreen needleleaf forest,37,0.7027027027027027
BSh,Leptosols,tropical grassland,18489,6.098436908432041
Af,Umbrisols,tropical evergreen broadleaf forest,3,4
EF,Ferrasols,low and high shrub tundra,11,0
Dfb,Chernozems,cool mixed forest,47472,60.11543646781261
BWh,Podzols,tropical deciduous broadleaf forest and woodland,28,31.071428571428573
Dfa,Phaeozems,temperate deciduous broadleaf forest,8708,59.552824988516306
BWk,Kastanozems,temperate evergreen needleleaf open woodland,2340,12.898290598290599
Csc,Ferrasols,cool evergreen needleleaf forest,1,0
BWh,Durisols,temperate evergreen needleleaf open woodland,93,10.376344086021506
Am,Cambisols,tropical xerophytic shrubland,17,322.47058823529414
BWk,Nitisols,wet sclerophyll forest,525,0.05523809523809524
ET,Calcisols,desert,82,0
BSk,Luvisols,wet sclerophyll forest,350,0.7342857142857143
BWk,Cambisols,wet sclerophyll forest,154,0.11688311688311688
BWh,Calcisols,tropical xerophytic shrubland,25722,25.04933519944017
Aw,Nitisols,temperate evergreen needleleaf open woodland,10,0
Csb,Lixisols,warm-temperate evergreen broadleaf and mixed forest,1547,86.55720749838397
Dfc,Histosols,erect dwarf-shrub tundra,1305,0.9409961685823754
Csa,Luvisols,warm-temperate evergreen broadleaf and mixed forest,17266,74.34779335109464
Aw,Chernozems,tropical evergreen broadleaf forest,4867,27.359769878775428
BSk,Solonchaks,graminoid and forb tundra,6,0
Aw,Albeluvisols,warm-temperate evergreen broadleaf and mixed forest,728,74.1717032967033
Dsb,Fluvisols,temperate evergreen needleleaf open woodland,987,9.391084093211752
BWh,Arenosols,tropical xerophytic shrubland,25188,2.0546688899475942
Cwa,Gypsisols,temperate sclerophyll woodland and shrubland,8,99.125
Dwc,Ferrasols,desert,55,0.14545454545454545
Csa,Fluvisols,tropical semi-evergreen broadleaf forest,1,0
Cfa,Gleysols,temperate sclerophyll woodland and shrubland,55,146.78181818181818
Dfb,Luvisols,desert,10,38.5
Csa,Andosols,temperate deciduous broadleaf forest,1,0
Dfc,Ferrasols,erect dwarf-shrub tundra,360,2.061111111111111
Dfb,Lixisols,tropical grassland,1125,15.931555555555555
Cfb,Arenosols,wet sclerophyll forest,1217,4.091207888249794
Csa,Ferrasols,tropical savanna,6,129.33333333333334
Csa,Podzols,warm-temperate evergreen broadleaf and mixed forest,249,163.86746987951807
Dsc,Ferrasols,cold evergreen needleleaf forest,711,0.046413502109704644
Cfc,Arenosols,cool evergreen needleleaf forest,1,0
Csb,Nitisols,temperate sclerophyll woodland and shrubland,536,23.615671641791046
Dfc,Alisols,cool mixed forest,10,66.3
BSh,Alisols,tropical xerophytic shrubland,76,5.368421052631579
Dsb,Histosols,temperate deciduous broadleaf forest,602,8.524916943521594
Dwc,Regosols,cold evergreen needleleaf forest,1,0
BSk,Nitisols,warm-temperate evergreen broadleaf and mixed forest,539,87.30983302411875
BWh,Lixisols,temperate evergreen needleleaf open woodland,113,84.47787610619469
Am,Vertisols,warm-temperate evergreen broadleaf and mixed forest,744,49.28629032258065
Dwa,Gypsisols,desert,112,90.02678571428571
Cwa,Chernozems,warm-temperate evergreen broadleaf and mixed forest,4608,82.85069444444444
Cfa,Nitisols,warm-temperate evergreen broadleaf and mixed forest,1232,133.03977272727272
BSh,Chernozems,warm-temperate evergreen broadleaf and mixed forest,426,47.66197183098591
Dfd,Phaeozems,low and high shrub tundra,11,0
Cwa,Cryosols,warm-temperate evergreen broadleaf and mixed forest,4141,79.85124366095147
BSk,Calcisols,cool evergreen needleleaf forest,59,1.9661016949152543
Cwb,Kastanozems,temperate deciduous broadleaf forest,66,36.78787878787879
Csb,Lixisols,temperate sclerophyll woodland and shrubland,1773,18.522278623801466
Cfa,Histosols,tropical savanna,2424,17.441419141914192
Csb,Durisols,tropical xerophytic shrubland,83,147.6265060240964
Dsb,Gypsisols,cool evergreen needleleaf forest,88,6.7727272727272725
Dwc,Luvisols,temperate evergreen needleleaf open woodland,11,1.9090909090909092
Cwa,Arenosols,tropical xerophytic shrubland,4868,7.2247329498767465
Dsc,Kastanozems,cool mixed forest,44,0
Dsc,Leptosols,cold deciduous forest,3,0
Cfb,Cryosols,temperate evergreen needleleaf open woodland,12,104.83333333333333
BSh,Vertisols,tropical grassland,28959,11.272108843537415
