Koppen,Soil,Vegetation,Count,Average
Dfc,Leptosols,desert,1,0
Cwa,Alisols,temperate sclerophyll woodland and shrubland,2,0
Af,Solonetz,tropical savanna,4,383
Dsb,Calcisols,temperate deciduous broadleaf forest,311,5.392282958199357
Dwd,Cambisols,low and high shrub tundra,149,0
Cwb,Cryosols,tropical xerophytic shrubland,823,40.94896719319563
Dfb,Durisols,cool mixed forest,9351,92.18479307025987
Aw,Leptosols,tropical semi-evergreen broadleaf forest,1558,34.75224646983312
Cfb,Podzols,tropical xerophytic shrubland,7,2.5714285714285716
Aw,Durisols,tropical evergreen broadleaf forest,5165,26.80329138431752
Am,Regosols,tropical xerophytic shrubland,1,682
Cwb,Regosols,tropical xerophytic shrubland,1627,8.18377381684081
Dfa,Planosols,tropical grassland,136,23.485294117647058
Csb,Ferrasols,tropical deciduous broadleaf forest and woodland,1,286
Dwd,Cambisols,cold deciduous forest,3109,0
BSh,Durisols,tropical xerophytic shrubland,2334,26.230934018851755
BSk,Arenosols,tropical grassland,2183,9.56481905634448
BSk,Calcisols,tropical xerophytic shrubland,5210,29.107869481765835
Am,Fluvisols,tropical evergreen broadleaf forest,5751,56.42166579725265
Dfa,Stagnosols,temperate deciduous broadleaf forest,6,44.333333333333336
Cfb,Durisols,cold evergreen needleleaf forest,3,6
Csa,Luvisols,tropical semi-evergreen broadleaf forest,4,24
BSk,Ferrasols,cool evergreen needleleaf forest,47,8.23404255319149
Dwb,Lixisols,desert,5,1
Dwa,Lixisols,desert,60,80.83333333333333
Dfc,Cryosols,cold evergreen needleleaf forest,237926,0.5353050948614275
Dwc,Kastanozems,cold evergreen needleleaf forest,1670,1.4137724550898203
ET,Chernozems,cold deciduous forest,1918,0
BWh,Kastanozems,warm-temperate evergreen broadleaf and mixed forest,3,0
Dwc,Calcisols,cold deciduous forest,8,0
Cwa,Ferrasols,tropical xerophytic shrubland,20515,12.572020472824763
Csa,Solonetz,tropical xerophytic shrubland,467,95.88222698072805
Dfa,Solonchaks,temperate deciduous broadleaf forest,21,18.904761904761905
Dfc,Podzols,wet sclerophyll forest,1,0
BSk,Lixisols,tropical xerophytic shrubland,3939,28.993399339933994
Cwa,Acrisols,tropical grassland,98,17.806122448979593
BSk,Stagnosols,temperate sclerophyll woodland and shrubland,444,9.637387387387387
Dfa,Podzols,temperate deciduous broadleaf forest,15,79.46666666666667
Dwa,Durisols,tropical grassland,575,126.12695652173913
BSk,Luvisols,temperate deciduous broadleaf forest,777,54.88545688545688
Dfc,Histosols,cold deciduous forest,21652,0.1861259929798633
Dsb,Gleysols,warm-temperate evergreen broadleaf and mixed forest,75,11.92
Dsc,Luvisols,temperate deciduous broadleaf forest,1,0
Dwa,Podzols,temperate deciduous broadleaf forest,26,135.80769230769232
BSh,Fluvisols,warm-temperate evergreen broadleaf and mixed forest,310,60.73225806451613
Aw,Regosols,tropical grassland,657,22.974124809741248
Cfc,Fluvisols,wet sclerophyll forest,95,0
Dwb,Chernozems,cold deciduous forest,34,20.11764705882353
Dwb,Gleysols,desert,18,3.611111111111111
BSh,Arenosols,temperate sclerophyll woodland and shrubland,133,3.4962406015037595
Csb,Phaeozems,warm-temperate evergreen broadleaf and mixed forest,324,108.8425925925926
Dsb,Kastanozems,tropical grassland,662,26.258308157099698
Cfb,Calcisols,tropical xerophytic shrubland,153,133.2941176470588
Aw,Vertisols,tropical xerophytic shrubland,244,67.10655737704919
BSk,Vertisols,temperate deciduous broadleaf forest,16,19.75
Dfb,Cryosols,warm-temperate evergreen broadleaf and mixed forest,32,70.15625
Dfb,Histosols,temperate deciduous broadleaf forest,2004,85.4880239520958
ET,Histosols,tropical grassland,954,1.3071278825995807
Dsb,Leptosols,cool mixed forest,191,0.4031413612565445
BWk,Vertisols,tropical xerophytic shrubland,246,6.845528455284553
BWk,Plinthosols,desert,4364,5.308890925756187
Cwa,Podzols,warm-temperate evergreen broadleaf and mixed forest,499,153.59118236472946
ET,Plinthosols,low and high shrub tundra,869,0.0011507479861910242
Csa,Nitisols,graminoid and forb tundra,12,104.16666666666667
Dsb,Histosols,warm-temperate evergreen broadleaf and mixed forest,121,11.991735537190083
BSh,Gypsisols,temperate evergreen needleleaf open woodland,5,29.2
Dsc,Gypsisols,wet sclerophyll forest,20,0
Dsd,Gypsisols,cold deciduous forest,854,0
BWk,Luvisols,wet sclerophyll forest,751,0.4607190412782956
Dsb,Cambisols,tropical grassland,236,9.34322033898305
Dfc,Fluvisols,cold evergreen needleleaf forest,20174,3.2300485773768215
Csb,Leptosols,temperate evergreen needleleaf open woodland,10,0
Cwb,Histosols,tropical semi-evergreen broadleaf forest,2,0
Dwc,Gleysols,warm-temperate evergreen broadleaf and mixed forest,1,0
Cwb,Calcisols,temperate deciduous broadleaf forest,6,68.5
Cwa,Durisols,tropical savanna,1692,13.122340425531915
Dwc,Podzols,low and high shrub tundra,2343,0.03841229193341869
Dsc,Cryosols,low and high shrub tundra,7573,0.00541397068532946
BSk,Cambisols,graminoid and forb tundra,6,0
Cwa,Acrisols,cold evergreen needleleaf forest,6,68.33333333333333
Cfc,Durisols,wet sclerophyll forest,95,0.031578947368421054
Csa,Gypsisols,graminoid and forb tundra,2,382.5
BWk,Arenosols,temperate sclerophyll woodland and shrubland,3165,0.8988941548183255
BSk,Arenosols,tropical savanna,6,33.833333333333336
BWh,Planosols,warm-temperate evergreen broadleaf and mixed forest,1,0
Cfb,Phaeozems,temperate deciduous broadleaf forest,393,143.0941475826972
BSk,Phaeozems,temperate sclerophyll woodland and shrubland,1728,13.547453703703704
Aw,Podzols,tropical evergreen broadleaf forest,84,178.75
Csc,Planosols,cool evergreen needleleaf forest,1,0
Aw,Calcisols,tropical xerophytic shrubland,275,26.603636363636365
Cfb,Cryosols,tropical grassland,150,62.54666666666667
Dfb,Leptosols,cold evergreen needleleaf forest,2211,29.676164631388513
BSk,Plinthosols,graminoid and forb tundra,1,0
Csa,Calcisols,temperate evergreen needleleaf open woodland,18,7.944444444444445
Csb,Planosols,temperate sclerophyll woodland and shrubland,439,16.88382687927107
BWh,Phaeozems,tropical deciduous broadleaf forest and woodland,30,69.23333333333333
Cwc,Andosols,warm-temperate evergreen broadleaf and mixed forest,4,30
BSk,Leptosols,cool mixed forest,62,2.193548387096774
Cfa,Durisols,tropical xerophytic shrubland,79,116
Cfc,Histosols,temperate deciduous broadleaf forest,76,5.065789473684211
Am,Planosols,warm-temperate evergreen broadleaf and mixed forest,246,70.1910569105691
Cwa,Cambisols,warm-temperate evergreen broadleaf and mixed forest,20486,96.6067070194279
Cwa,Chernozems,tropical evergreen broadleaf forest,3,0.6666666666666666
ET,Planosols,temperate deciduous broadleaf forest,13,0
Cfb,Gleysols,warm-temperate evergreen broadleaf and mixed forest,324,61.361111111111114
Dfc,Fluvisols,cold deciduous forest,5199,0.002500480861704174
Cfa,Planosols,tropical grassland,735,15.395918367346939
Dsb,Podzols,tropical xerophytic shrubland,25,0
Csa,Fluvisols,tropical savanna,8,45
BWk,Leptosols,wet sclerophyll forest,2823,0.02089975203684024
Csa,Plinthosols,warm-temperate evergreen broadleaf and mixed forest,418,147.44258373205741
Dfc,Lixisols,temperate evergreen needleleaf open woodland,365,1.2684931506849315
ET,Nitisols,cold deciduous forest,230,0
Aw,Cambisols,tropical deciduous broadleaf forest and woodland,5579,46.02832048754257
Cwa,Vertisols,tropical xerophytic shrubland,724,132.02209944751382
Dwc,Kastanozems,low and high shrub tundra,648,0.030864197530864196
Dfc,Gypsisols,temperate deciduous broadleaf forest,8,0
Dfc,Durisols,tropical grassland,133,0.15789473684210525
Aw,Solonetz,tropical xerophytic shrubland,30,9.4
Dsc,Fluvisols,cold evergreen needleleaf forest,731,0.28864569083447333
Dwb,Gleysols,cold deciduous forest,16,4.5625
Cfa,Alisols,tropical deciduous broadleaf forest and woodland,5,57
BWh,Vertisols,tropical evergreen broadleaf forest,1,66
BSh,Plinthosols,tropical evergreen broadleaf forest,8,184.625
BSk,Durisols,wet sclerophyll forest,208,1.2403846153846154
Dwa,Planosols,desert,1,46
Am,Gleysols,tropical evergreen broadleaf forest,6509,28.952066369642033
Csb,Arenosols,tropical grassland,254,55.39370078740158
Dsb,Plinthosols,warm-temperate evergreen broadleaf and mixed forest,2,0
Af,Nitisols,tropical grassland,2,0
Dwb,Solonchaks,cool mixed forest,10,0
Cwb,Stagnosols,warm-temperate evergreen broadleaf and mixed forest,138,175.2826086956522
ET,Plinthosols,graminoid and forb tundra,8,0
BSh,Histosols,tropical savanna,5487,11.634044104246401
Dwb,Luvisols,cool mixed forest,11427,23.153671129780346
Dsa,Ferrasols,temperate evergreen needleleaf open woodland,21,2
Dsb,Fluvisols,desert,5,0
Aw,Alisols,tropical evergreen broadleaf forest,5247,24.8084619782733
BSh,Planosols,temperate sclerophyll woodland and shrubland,83,2.7710843373493974
Dwb,Umbrisols,cool mixed forest,14,0.2857142857142857
Dfb,Cambisols,temperate evergreen needleleaf open woodland,1776,9.88231981981982
Cfa,Chernozems,tropical xerophytic shrubland,85,156.28235294117647
Dwc,Planosols,tropical grassland,23,3.608695652173913
Csa,Lixisols,tropical savanna,10,41.2
Cfb,Phaeozems,cold evergreen needleleaf forest,9,27.444444444444443
Dfa,Leptosols,desert,1,0
Cfb,Lixisols,tropical deciduous broadleaf forest and woodland,23,0
Cfc,Podzols,temperate deciduous broadleaf forest,857,2.865810968494749
Cfb,Cryosols,tropical evergreen broadleaf forest,1,0
Af,Lixisols,tropical deciduous broadleaf forest and woodland,37,13.621621621621621
Cwb,Chernozems,temperate sclerophyll woodland and shrubland,4,6
Dfb,Gleysols,temperate deciduous broadleaf forest,1739,104.45025876940771
BSk,Cryosols,wet sclerophyll forest,316,2.6265822784810124
Dsd,Calcisols,cold deciduous forest,31,0
BWh,Cambisols,tropical deciduous broadleaf forest and woodland,346,69.58670520231213
Dsc,Arenosols,low and high shrub tundra,7,0
Aw,Solonchaks,temperate evergreen needleleaf open woodland,1,0
Dwc,Cryosols,graminoid and forb tundra,180,6.594444444444444
BSk,Phaeozems,temperate deciduous broadleaf forest,292,30.147260273972602
ET,Kastanozems,erect dwarf-shrub tundra,584,0.136986301369863
BSh,Luvisols,temperate evergreen needleleaf open woodland,14,21.214285714285715
BWh,Cryosols,tropical xerophytic shrubland,3689,34.03144483599892
Dsa,Solonetz,temperate evergreen needleleaf open woodland,11,1.0909090909090908
BSk,Podzols,graminoid and forb tundra,1,0
Dfa,Regosols,temperate deciduous broadleaf forest,27,47.7037037037037
Cfb,Histosols,wet sclerophyll forest,54,0.018518518518518517
Dfa,Vertisols,tropical grassland,975,2.434871794871795
Csa,Histosols,tropical semi-evergreen broadleaf forest,3,0.6666666666666666
Cfb,Podzols,erect dwarf-shrub tundra,1,0
Csa,Durisols,tropical grassland,543,72.96500920810313
Dsb,Fluvisols,cold evergreen needleleaf forest,67,5.2388059701492535
Dfc,Fluvisols,wet sclerophyll forest,5,0
Am,Cryosols,warm-temperate evergreen broadleaf and mixed forest,1158,63.64853195164076
Dfb,Cryosols,temperate deciduous broadleaf forest,3376,72.02754739336493
Csc,Planosols,tropical grassland,2,0
BSh,Arenosols,tropical deciduous broadleaf forest and woodland,694,84.4077809798271
BSk,Leptosols,tropical savanna,4,38.25
BWh,Solonchaks,tropical deciduous broadleaf forest and woodland,116,10.982758620689655
Cfa,Acrisols,temperate deciduous broadleaf forest,6593,123.9799787653572
BWk,Chernozems,wet sclerophyll forest,59,0
Cfb,Nitisols,tropical savanna,1990,59.44472361809045
ET,Gleysols,tropical xerophytic shrubland,104,0
Cfa,Ferrasols,temperate sclerophyll woodland and shrubland,52,75.11538461538461
BSk,Kastanozems,graminoid and forb tundra,20,0
Dwc,Ferrasols,warm-temperate evergreen broadleaf and mixed forest,3,0
Dfb,Podzols,temperate evergreen needleleaf open woodland,111,11.513513513513514
Dwa,Nitisols,desert,101,55.75247524752475
Csa,Umbrisols,desert,1,0
Csc,Fluvisols,erect dwarf-shrub tundra,2,0
Cfc,Durisols,cool evergreen needleleaf forest,8,4.75
Dfc,Cryosols,wet sclerophyll forest,7,0
Dsc,Leptosols,cold evergreen needleleaf forest,496,0.3971774193548387
Csa,Calcisols,warm-temperate evergreen broadleaf and mixed forest,262,103.3969465648855
Dsc,Cryosols,cool mixed forest,61,0
Csb,Fluvisols,desert,4,157
BWk,Solonchaks,cool mixed forest,7,0
Dsc,Histosols,erect dwarf-shrub tundra,33,0
Cwa,Histosols,cold evergreen needleleaf forest,28,44.892857142857146
BSh,Calcisols,temperate deciduous broadleaf forest,1,0
BSh,Acrisols,tropical savanna,4107,34.68931093255418
Cwc,Cambisols,tropical grassland,394,21.373096446700508
Dsc,Leptosols,desert,5,3.8
BSk,Regosols,temperate sclerophyll woodland and shrubland,1190,11.008403361344538
Cfb,Vertisols,tropical xerophytic shrubland,4,54.75
Dwb,Chernozems,cold evergreen needleleaf forest,2147,8.820214252445272
Dfc,Podzols,cool mixed forest,33407,1.7625048642500074
Csc,Phaeozems,wet sclerophyll forest,11,0
Dfc,Lixisols,cold evergreen needleleaf forest,15669,3.8040079137149787
Am,Calcisols,tropical savanna,489,31.529652351738243
Csb,Vertisols,temperate sclerophyll woodland and shrubland,48,23.520833333333332
Cwa,Histosols,tropical xerophytic shrubland,817,46.97062423500612
EF,Luvisols,tropical grassland,1,0
Dsc,Chernozems,cool mixed forest,108,0.07407407407407407
Dfc,Cryosols,cool mixed forest,975,6.845128205128205
BWh,Gleysols,desert,2183,25.404031149793862
Dwc,Lixisols,cool mixed forest,987,0.2137791286727457
Dfc,Gypsisols,tropical grassland,70,20.242857142857144
Am,Chernozems,wet sclerophyll forest,8,25.75
Dfb,Lixisols,temperate deciduous broadleaf forest,2672,102.80763473053892
BWh,Umbrisols,temperate sclerophyll woodland and shrubland,1,0
Dfa,Cryosols,warm-temperate evergreen broadleaf and mixed forest,20,170.15
Csa,Lixisols,tropical xerophytic shrubland,1250,82.5216
BWk,Ferrasols,desert,7943,22.915774896134963
Cwa,Calcisols,tropical xerophytic shrubland,1417,12.936485532815809
Dwc,Lixisols,graminoid and forb tundra,928,0.09482758620689655
ET,Leptosols,cold deciduous forest,339,0
Cfb,Chernozems,cold deciduous forest,2,0
Dfb,Chernozems,warm-temperate evergreen broadleaf and mixed forest,47,49.12765957446808
EF,Cambisols,tropical grassland,107,0
Cwc,Ferrasols,warm-temperate evergreen broadleaf and mixed forest,1,0
ET,Kastanozems,cold deciduous forest,485,0
Dsc,Andosols,low and high shrub tundra,18,0
BWk,Durisols,tropical xerophytic shrubland,531,8.421845574387948
Dsb,Ferrasols,cool evergreen needleleaf forest,108,24.685185185185187
Dsc,Regosols,tropical grassland,306,0
Aw,Arenosols,tropical deciduous broadleaf forest and woodland,2087,63.3310972688069
Dsc,Nitisols,cold deciduous forest,3,0
BWk,Ferrasols,warm-temperate evergreen broadleaf and mixed forest,19,60.578947368421055
Dwc,Vertisols,tropical grassland,1,0
Dsc,Gypsisols,cool evergreen needleleaf forest,36,0
BWh,Gypsisols,tropical evergreen broadleaf forest,1,0
Dfd,Cryosols,cold deciduous forest,106296,0.40167080605102734
Cfb,Cambisols,cool mixed forest,8805,188.3977285633163
Am,Fluvisols,tropical semi-evergreen broadleaf forest,740,47.66486486486487
Dfa,Kastanozems,temperate evergreen needleleaf open woodland,13,204.07692307692307
Csb,Regosols,wet sclerophyll forest,1648,0.375
Dfc,Phaeozems,cold evergreen needleleaf forest,18487,8.614972683507329
ET,Kastanozems,desert,1443,0.04504504504504504
Cwb,Kastanozems,cold evergreen needleleaf forest,13,10.076923076923077
Cfc,Albeluvisols,tropical grassland,2,0
Csa,Planosols,warm-temperate evergreen broadleaf and mixed forest,312,132.39102564102564
Dwc,Phaeozems,tropical grassland,349,0.28939828080229224
Cfa,Vertisols,tropical savanna,276,5.217391304347826
Cwa,Cambisols,cold evergreen needleleaf forest,18,39.666666666666664
Cfa,Cryosols,temperate deciduous broadleaf forest,1050,186.7752380952381
Dsb,Gleysols,temperate deciduous broadleaf forest,506,8.99802371541502
Dsb,Podzols,temperate evergreen needleleaf open woodland,673,3.225854383358098
Cfa,Histosols,temperate evergreen needleleaf open woodland,4,283
BWk,Lixisols,tropical xerophytic shrubland,766,3.9908616187989554
Dwa,Chernozems,desert,1221,126.17444717444718
Am,Solonchaks,tropical deciduous broadleaf forest and woodland,78,103.7948717948718
BSh,Ferrasols,tropical evergreen broadleaf forest,136,36.1985294117647
Cfc,Cambisols,warm-temperate evergreen broadleaf and mixed forest,28,3.357142857142857
Dsb,Cambisols,temperate deciduous broadleaf forest,3670,8.657220708446866
Cfb,Luvisols,cool evergreen needleleaf forest,49,17.163265306122447
Dwb,Fluvisols,cold evergreen needleleaf forest,693,7.933621933621934
Csb,Chernozems,desert,1,0
Csa,Arenosols,temperate sclerophyll woodland and shrubland,1877,28.56206712839638
BSk,Regosols,warm-temperate evergreen broadleaf and mixed forest,128,69.359375
Aw,Nitisols,tropical xerophytic shrubland,100,37.67
Dsa,Chernozems,temperate deciduous broadleaf forest,417,42.25179856115108
ET,Ferrasols,temperate deciduous broadleaf forest,5,0
Aw,Luvisols,tropical evergreen broadleaf forest,243,96.03703703703704
BSh,Albeluvisols,tropical savanna,1140,30.38859649122807
Csb,Cambisols,tropical grassland,249,53.63855421686747
Cwa,Solonchaks,tropical grassland,10,78.1
Csb,Luvisols,tropical grassland,720,25.268055555555556
Csb,Planosols,tropical xerophytic shrubland,217,44.46082949308756
Dsa,Fluvisols,temperate evergreen needleleaf open woodland,22,31
BSh,Histosols,tropical grassland,2167,27.33133364097831
BSh,Plinthosols,tropical savanna,1265,12.088537549407114
Am,Phaeozems,tropical deciduous broadleaf forest and woodland,190,43.92631578947368
Cfa,Phaeozems,tropical grassland,8295,10.758529234478601
Dsb,Leptosols,warm-temperate evergreen broadleaf and mixed forest,112,12.8125
Cfa,Regosols,temperate sclerophyll woodland and shrubland,359,11.275766016713092
BSk,Gleysols,temperate evergreen needleleaf open woodland,2545,24.07858546168959
Dfb,Histosols,cold evergreen needleleaf forest,3050,21.762295081967213
Cwc,Durisols,tropical grassland,8,21.5
Csc,Durisols,tropical grassland,2,0
ET,Gypsisols,cool mixed forest,217,1.1059907834101383
Dfb,Kastanozems,warm-temperate evergreen broadleaf and mixed forest,22,10.590909090909092
Cfa,Albeluvisols,temperate sclerophyll woodland and shrubland,128,86.171875
Dsa,Nitisols,tropical xerophytic shrubland,9,0
Aw,Nitisols,warm-temperate evergreen broadleaf and mixed forest,1333,45.435858964741186
Dfb,Kastanozems,temperate evergreen needleleaf open woodland,9023,10.878310983043333
Cwa,Chernozems,cold evergreen needleleaf forest,24,48.375
Am,Vertisols,tropical savanna,21,267.6190476190476
Cfb,Histosols,temperate sclerophyll woodland and shrubland,439,54.36674259681094
Dfa,Chernozems,cool mixed forest,4470,23.504474272930647
Aw,Nitisols,tropical grassland,875,27.6
BSk,Vertisols,warm-temperate evergreen broadleaf and mixed forest,361,93.13573407202216
Cwb,Cambisols,wet sclerophyll forest,13,0.23076923076923078
Aw,Lixisols,tropical xerophytic shrubland,160,24.45625
BSh,Luvisols,tropical grassland,8131,15.358381502890174
Af,Andosols,warm-temperate evergreen broadleaf and mixed forest,3263,38.15476555317193
BWk,Kastanozems,temperate deciduous broadleaf forest,87,27.298850574712645
Dfd,Planosols,cold deciduous forest,288,0
BWk,Solonetz,temperate evergreen needleleaf open woodland,2066,1.6718296224588578
Cfc,Plinthosols,erect dwarf-shrub tundra,39,0.8461538461538461
BSk,Solonchaks,warm-temperate evergreen broadleaf and mixed forest,108,113.12037037037037
BWk,Chernozems,tropical xerophytic shrubland,899,6.844271412680756
BWh,Leptosols,tropical semi-evergreen broadleaf forest,1,0
Am,Cryosols,tropical savanna,820,25.165853658536584
Am,Planosols,tropical savanna,68,47.588235294117645
BWk,Luvisols,tropical grassland,6425,3.0213229571984437
Dwc,Phaeozems,cold deciduous forest,701,0.018544935805991442
EF,Gleysols,graminoid and forb tundra,5,0
BSh,Lixisols,wet sclerophyll forest,1,0
Cwb,Calcisols,tropical deciduous broadleaf forest and woodland,8,0.5
Cfb,Durisols,tropical semi-evergreen broadleaf forest,1,559
BWk,Gleysols,temperate evergreen needleleaf open woodland,556,13.276978417266188
BSh,Calcisols,temperate evergreen needleleaf open woodland,1,5
Am,Podzols,temperate evergreen needleleaf open woodland,2,765
Cwb,Histosols,tropical savanna,21,35.285714285714285
Cfb,Leptosols,tropical deciduous broadleaf forest and woodland,25,0
Aw,Planosols,tropical xerophytic shrubland,65,20.307692307692307
Am,Fluvisols,wet sclerophyll forest,1,25
Dfc,Durisols,desert,1,0
BSk,Ferrasols,temperate sclerophyll woodland and shrubland,314,15.964968152866241
Cfb,Lixisols,temperate deciduous broadleaf forest,5150,176.2407766990291
Csb,Alisols,temperate sclerophyll woodland and shrubland,1,22
Dfc,Gleysols,temperate deciduous broadleaf forest,8,8.25
Dsb,Durisols,temperate evergreen needleleaf open woodland,875,6.982857142857143
Dwc,Cambisols,graminoid and forb tundra,110,0.5545454545454546
Am,Umbrisols,temperate evergreen needleleaf open woodland,14,765
Csa,Nitisols,temperate sclerophyll woodland and shrubland,79,8.063291139240507
BWh,Histosols,tropical savanna,262,34.30534351145038
BWk,Ferrasols,cold evergreen needleleaf forest,1,0
Am,Solonetz,tropical deciduous broadleaf forest and woodland,53,31.830188679245282
Csb,Andosols,cool mixed forest,14,1.2142857142857142
Dfd,Luvisols,low and high shrub tundra,8,0
Dfd,Calcisols,cold deciduous forest,152,0.8289473684210527
Cwa,Andosols,tropical savanna,382,13.963350785340314
Cfa,Acrisols,tropical deciduous broadleaf forest and woodland,262,51.538167938931295
Csb,Podzols,cool mixed forest,1,0
Dwc,Gypsisols,cold evergreen needleleaf forest,1707,0.5946104276508495
Csc,Cryosols,cool evergreen needleleaf forest,3,0
Dfc,Kastanozems,cool mixed forest,444,11.777027027027026
BSk,Durisols,tropical savanna,1,69
Aw,Stagnosols,tropical deciduous broadleaf forest and woodland,1550,100.64645161290322
BSk,Podzols,temperate sclerophyll woodland and shrubland,1114,7.482046678635547
BSk,Durisols,cold deciduous forest,29,4.931034482758621
Dfa,Cambisols,temperate deciduous broadleaf forest,6438,178.93383038210624
Dfc,Albeluvisols,cool mixed forest,799,4.704630788485607
Cfa,Nitisols,tropical xerophytic shrubland,503,19.055666003976143
Csa,Durisols,cold evergreen needleleaf forest,2,381.5
Cfa,Chernozems,temperate deciduous broadleaf forest,1320,198.96136363636364
Csb,Planosols,cool evergreen needleleaf forest,20,12.15
ET,Podzols,cool evergreen needleleaf forest,2659,0.06506205340353516
Dwb,Luvisols,tropical xerophytic shrubland,1,0
Dwd,Planosols,cold deciduous forest,755,0.031788079470198675
BWk,Kastanozems,tropical xerophytic shrubland,601,12.549084858569051
Cfa,Calcisols,tropical evergreen broadleaf forest,1,0
ET,Planosols,cold evergreen needleleaf forest,378,0.0026455026455026454
Dsc,Cryosols,temperate evergreen needleleaf open woodland,186,0.6021505376344086
ET,Fluvisols,cold evergreen needleleaf forest,1066,0.009380863039399626
Dfc,Albeluvisols,low and high shrub tundra,8,0
Dsc,Gleysols,temperate deciduous broadleaf forest,2,0
Dsb,Arenosols,tropical grassland,3,0
Am,Nitisols,tropical semi-evergreen broadleaf forest,10,24.9
BWh,Vertisols,temperate sclerophyll woodland and shrubland,6,0
Af,Nitisols,tropical savanna,1,765
Cwb,Solonchaks,tropical xerophytic shrubland,85,92
Dfc,Durisols,temperate deciduous broadleaf forest,4,0
Dsc,Luvisols,warm-temperate evergreen broadleaf and mixed forest,1,0
ET,Fluvisols,temperate deciduous broadleaf forest,4,0
Cwa,Albeluvisols,warm-temperate evergreen broadleaf and mixed forest,7001,50.708613055277816
Dwa,Luvisols,desert,41,104.73170731707317
Dfb,Arenosols,warm-temperate evergreen broadleaf and mixed forest,2,0
ET,Gypsisols,temperate deciduous broadleaf forest,7,0.7142857142857143
Dsb,Cryosols,warm-temperate evergreen broadleaf and mixed forest,208,9.096153846153847
Csb,Calcisols,tropical xerophytic shrubland,41,84.8048780487805
Cfb,Cryosols,cold evergreen needleleaf forest,4,0
Csb,Arenosols,tropical deciduous broadleaf forest and woodland,1,54
Aw,Phaeozems,tropical xerophytic shrubland,102,23.11764705882353
Csb,Plinthosols,temperate sclerophyll woodland and shrubland,534,15.962546816479401
Cfb,Nitisols,tropical grassland,78,8.666666666666666
Dsc,Histosols,temperate evergreen needleleaf open woodland,91,0.3076923076923077
Dsc,Kastanozems,tropical grassland,211,0.02843601895734597
Csb,Leptosols,desert,4,191.25
Dsb,Luvisols,tropical xerophytic shrubland,57,2.4035087719298245
Aw,Planosols,tropical evergreen broadleaf forest,233,71.63948497854078
Cwa,Stagnosols,tropical deciduous broadleaf forest and woodland,630,70.4063492063492
Dfd,Gleysols,cold deciduous forest,6887,0.0020328154493974154
Dwa,Histosols,desert,170,72.6
Cfc,Nitisols,temperate deciduous broadleaf forest,92,2.9239130434782608
Dfa,Leptosols,temperate evergreen needleleaf open woodland,1,0
BWk,Cambisols,cool mixed forest,87,0.6091954022988506
Dfc,Luvisols,cool evergreen needleleaf forest,113,9.380530973451327
Cfc,Calcisols,wet sclerophyll forest,180,0.22777777777777777
Am,Umbrisols,warm-temperate evergreen broadleaf and mixed forest,206,86.55825242718447
Am,Leptosols,warm-temperate evergreen broadleaf and mixed forest,686,42.857142857142854
Dfa,Arenosols,warm-temperate evergreen broadleaf and mixed forest,7,62.57142857142857
Af,Planosols,tropical evergreen broadleaf forest,36,31.166666666666668
Dfb,Kastanozems,cold evergreen needleleaf forest,4823,19.156956251295874
Dsc,Cambisols,tropical grassland,394,0.04060913705583756
ET,Gleysols,prostrate dwarf-shrub tundra,3,0
Af,Ferrasols,tropical semi-evergreen broadleaf forest,11892,3.59510595358224
Dwc,Leptosols,temperate evergreen needleleaf open woodland,1,0
BSk,Acrisols,tropical grassland,158,6.569620253164557
Cfb,Phaeozems,temperate sclerophyll woodland and shrubland,3069,21.930922124470513
Dsc,Calcisols,temperate evergreen needleleaf open woodland,157,0
Cwb,Gypsisols,cool mixed forest,4,0.75
Cfa,Cambisols,temperate sclerophyll woodland and shrubland,100,40.83
Cwc,Durisols,warm-temperate evergreen broadleaf and mixed forest,1,0
Csa,Luvisols,cool evergreen needleleaf forest,16,29.875
Dwb,Histosols,cool mixed forest,1313,11.022086824067022
BSk,Leptosols,graminoid and forb tundra,576,0.1753472222222222
BWk,Gleysols,warm-temperate evergreen broadleaf and mixed forest,18,67.22222222222223
Cfb,Histosols,temperate evergreen needleleaf open woodland,5,51.2
Am,Kastanozems,tropical semi-evergreen broadleaf forest,42,49.61904761904762
Csc,Arenosols,cool evergreen needleleaf forest,1,0
Cfb,Chernozems,tropical deciduous broadleaf forest and woodland,181,4.6187845303867405
Cfa,Vertisols,tropical xerophytic shrubland,761,17.779237844940866
EF,Lixisols,tropical grassland,3,0
Cfb,Calcisols,cool evergreen needleleaf forest,4,0
Csb,Plinthosols,desert,1,509
Cwa,Leptosols,tropical xerophytic shrubland,1914,38.50208986415883
Dfa,Luvisols,desert,132,60.96969696969697
Cfa,Luvisols,tropical deciduous broadleaf forest and woodland,56,2.7142857142857144
BSh,Calcisols,tropical deciduous broadleaf forest and woodland,356,142
Csa,Solonetz,temperate sclerophyll woodland and shrubland,61,10.721311475409836
Cwb,Acrisols,tropical savanna,27,40.96296296296296
ET,Chernozems,cool evergreen needleleaf forest,68,0
BSk,Kastanozems,temperate sclerophyll woodland and shrubland,418,12.492822966507177
Am,Acrisols,tropical semi-evergreen broadleaf forest,20365,52.261576233734345
Csc,Cambisols,warm-temperate evergreen broadleaf and mixed forest,9,0
Csa,Umbrisols,temperate sclerophyll woodland and shrubland,35,7.171428571428572
